Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
24;21100409642;"Global Strategy Journal";journal;"20425805";2,178;Q1;18;36;73;3623;350;64;5,40;100,64;United States;Northern America;"John Wiley and Sons Inc.";"2014-2020";"Business and International Management (Q1); Strategy and Management (Q1)"
25;23859;"Journal of Business Ethics";journal;"15730697, 01674544";1,972;Q1;168;712;1176;63008;6626;1061;5,64;88,49;Netherlands;Western Europe;"Springer Netherlands";"1982-2020";"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Law (Q1)"
26;28552;"International Small Business Journal";journal;"02662426";1,848;Q1;78;36;143;3592;886;143;4,97;99,78;United Kingdom;Western Europe;"SAGE Publications Ltd";"1982-2020";"Business and International Management (Q1)"
27;23406;"Business Strategy and the Environment";journal;"10990836, 09644733";1,828;Q1;94;103;262;7931;1717;260;6,16;77,00;United States;Northern America;"John Wiley and Sons Ltd";"1992-2020";"Business and International Management (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Strategy and Management (Q1)"
28;14704;"Technological Forecasting and Social Change";journal;"00401625";1,815;Q1;103;443;1011;33671;6465;907;7,33;76,01;United States;Northern America;"Elsevier Inc.";"1970-2020";"Applied Psychology (Q1); Business and International Management (Q1); Management of Technology and Innovation (Q1)"
29;15392;"Journal of Business and Psychology";journal;"1573353X, 08893268";1,765;Q1;69;107;129;8918;516;125;4,24;83,35;United States;Northern America;"Kluwer Academic/Human Sciences Press Inc.";"1986-2020";"Applied Psychology (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Psychology (miscellaneous) (Q1)"
30;22706;"International Journal of Forecasting";journal;"01692070";1,753;Q1;85;150;242;6286;1185;228;3,76;41,91;Netherlands;Western Europe;"Elsevier";"1985-2020";"Business and International Management (Q1)"
31;144651;"Journal of Technology Transfer";journal;"08929912";1,657;Q1;73;125;226;10186;1278;208;5,53;81,49;United States;Northern America;"Kluwer Academic Publishers";"1977-2020";"Accounting (Q1); Business and International Management (Q1); Engineering (miscellaneous) (Q1)"
32;19875;"Journal of Common Market Studies";journal;"14685965, 00219886";1,621;Q1;85;119;306;6058;984;300;3,04;50,91;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1962-2020";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Political Science and International Relations (Q1)"
33;17500155110;"Foundations and Trends in Entrepreneurship";journal;"15513114, 15513122";1,605;Q1;29;3;16;521;84;16;6,70;173,67;United States;Northern America;"Now Publishers Inc";"2005-2020";"Business and International Management (Q1); Economics and Econometrics (Q1)"
34;17496;"Journal of Corporate Finance";journal;"09291199";1,566;Q1;91;119;425;7758;1710;410;3,29;65,19;Netherlands;Western Europe;"Elsevier";"1994-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)"
35;20633;"Journal of International Management";journal;"10754253";1,549;Q1;66;39;73;4022;357;73;4,56;103,13;United States;Northern America;"Elsevier Inc.";"1998-2020";"Business and International Management (Q1); Finance (Q1); Strategy and Management (Q1)"
36;11700154366;"Journal of Leadership and Organizational Studies";journal;"19397089, 15480518";1,504;Q1;39;38;100;2986;319;99;2,98;78,58;United States;Northern America;"SAGE Publications Inc.";"1996-1999, 2008-2020";"Business and International Management (Q1); Management Science and Operations Research (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1)"
37;21100369735;"Journal of Business Venturing Insights";journal;"23526734";1,489;Q1;14;45;80;2249;315;79;3,60;49,98;United States;Northern America;"Elsevier Inc.";"2014-2020";"Business and International Management (Q1); Management of Technology and Innovation (Q1)"
38;21100781509;"Journal of Public Policy and Marketing";journal;"07439156, 15477207";1,457;Q1;70;38;91;2738;297;78;2,35;72,05;United States;Northern America;"American Marketing Association";"1996-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
39;23665;"International Business Review";journal;"09695931";1,453;Q1;87;97;314;10457;1777;302;5,60;107,80;United Kingdom;Western Europe;"Elsevier Ltd.";"1993-2020";"Business and International Management (Q1); Finance (Q1); Marketing (Q1)"
40;21100198497;"Quality Technology and Quantitative Management";journal;"16843703";1,421;Q1;16;62;105;1893;286;103;3,06;30,53;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2020";"Business and International Management (Q1); Industrial Relations (Q1); Information Systems and Management (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1)"
41;21100228536;"Journal of Destination Marketing and Management";journal;"2212571X";1,416;Q1;31;80;201;6469;1133;199;5,57;80,86;United Kingdom;Western Europe;"Elsevier Ltd.";"2012-2020";"Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)"
42;23687;"Marketing Letters";journal;"1573059X, 09230645";1,406;Q1;65;27;150;729;391;143;1,98;27,00;United States;Northern America;"Springer New York";"1989-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
43;20209;"Business Horizons";journal;"00076813";1,402;Q1;76;93;248;2934;1295;202;5,54;31,55;United Kingdom;Western Europe;"Elsevier Ltd.";"1957-2020";"Business and International Management (Q1); Marketing (Q1)"
44;12100156754;"Sport Management Review";journal;"14413523";1,390;Q1;50;101;134;7679;594;132;4,65;76,03;Netherlands;Western Europe;"Elsevier BV";"1998-2020";"Business and International Management (Q1); Management Science and Operations Research (Q1); Marketing (Q1); Organizational Behavior and Human Resource Management (Q1); Sports Science (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)"
45;20662;"Entrepreneurship and Regional Development";journal;"14645114, 08985626";1,368;Q1;83;63;130;5294;595;113;4,30;84,03;United Kingdom;Western Europe;"Routledge";"1989-2020";"Business and International Management (Q1); Economics and Econometrics (Q1)"
46;21100286906;"Eurasian Mining";journal;"20720823";1,347;Q1;12;28;69;543;162;69;2,62;19,39;Russian Federation;Eastern Europe;"Ore &amp; Metals Publishing House";"2013-2019";"Business and International Management (Q1); Economic Geology (Q1); Geotechnical Engineering and Engineering Geology (Q1); Industrial and Manufacturing Engineering (Q1); Management of Technology and Innovation (Q1)"
47;14453;"Emerging Markets Review";journal;"18736173, 15660141";1,317;Q1;45;60;143;3756;616;142;4,08;62,60;Netherlands;Western Europe;"Elsevier";"2000-2020";"Business and International Management (Q1); Economics and Econometrics (Q1)"
48;145211;"Asia Pacific Journal of Management";journal;"02174561";1,302;Q1;74;124;124;11854;591;113;4,41;95,60;United States;Northern America;"Springer New York";"1983-2020";"Business and International Management (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Strategy and Management (Q1)"
49;19700182654;"Project Management Journal";journal;"19389507, 87569728";1,293;Q1;37;57;157;3768;520;139;3,19;66,11;United States;Northern America;"SAGE Publications Inc.";"1986, 2010-2020";"Business and International Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
50;15806;"International Public Management Journal";journal;"15593169, 10967494";1,272;Q1;42;60;93;4266;238;79;2,45;71,10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2020";"Business and International Management (Q1); Public Administration (Q1)"
51;22839;"International Marketing Review";journal;"02651335";1,249;Q1;83;79;130;6305;696;124;3,81;79,81;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
52;22486;"R and D Management";journal;"14679310, 00336807";1,249;Q1;99;55;171;3940;704;168;3,75;71,64;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1970-2020";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
53;5700161512;"Journal of Consumer Culture";journal;"14695405, 17412900";1,211;Q1;52;56;154;3292;351;120;3,01;58,79;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2020";"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
54;21100856538;"Entrepreneurship and Sustainability Issues";journal;"23450282";1,171;Q1;18;194;168;7696;964;168;5,74;39,67;Lithuania;Eastern Europe;"";"2017-2020";"Business and International Management (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Management of Technology and Innovation (Q1)"
55;20193;"Business Ethics";journal;"09628770";1,146;Q1;29;36;91;3265;412;88;3,74;90,69;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1992-1995, 1997, 1999, 2001, 2008, 2010-2020";"Business and International Management (Q1); Economics and Econometrics (Q1)"
56;19900193216;"Journal of Management Accounting Research";journal;"15588033, 10492127";1,106;Q1;19;32;72;2081;162;67;1,72;65,03;United States;Northern America;"American Accounting Association";"2009-2019";"Accounting (Q1); Business and International Management (Q1)"
57;19700201449;"International Journal of Logistics Management";journal;"17586550, 09574093";1,060;Q1;72;54;177;4628;775;171;4,66;85,70;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1990-2020";"Business and International Management (Q1); Transportation (Q1)"
58;21100932830;"Journal of Innovation and Knowledge";journal;"2444569X, 25307614";1,059;Q1;15;41;59;2641;387;55;8,00;64,41;Netherlands;Western Europe;"Elsevier BV";"2016-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Marketing (Q1)"
59;22965;"Journal of Personal Selling and Sales Management";journal;"15577813, 08853134";1,045;Q1;63;29;69;2351;156;61;2,63;81,07;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-2020";"Business and International Management (Q1); Human Factors and Ergonomics (Q1); Management of Technology and Innovation (Q1); Marketing (Q1)"
60;11000153782;"Management International Review";journal;"09388249, 18618901";1,037;Q1;53;37;103;3674;320;95;2,66;99,30;Germany;Western Europe;"Gabler Verlag";"2005-2020";"Business and International Management (Q1); Strategy and Management (Q1)"
61;19691;"International Journal of Electronic Commerce";journal;"10864415, 15579301";1,028;Q1;77;24;59;1534;195;52;3,24;63,92;United States;Northern America;"M.E. Sharpe Inc.";"1996-2020";"Business and International Management (Q1); Economics and Econometrics (Q2)"
62;9700153238;"International Transactions in Operational Research";journal;"09696016, 14753995";1,018;Q1;48;165;247;6861;801;214;3,75;41,58;Denmark;Western Europe;"Blackwell Publishing";"1994-2020";"Business and International Management (Q1); Computer Science Applications (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1); Management Science and Operations Research (Q2)"
63;19600157911;"Electronic Markets";journal;"14228890, 10196781";1,006;Q1;29;81;103;6299;449;76;4,67;77,77;Germany;Western Europe;"Springer Verlag";"2009-2020";"Business and International Management (Q1); Computer Science Applications (Q1); Management of Technology and Innovation (Q1); Economics and Econometrics (Q2); Marketing (Q2)"
64;21100373814;"BRQ Business Research Quarterly";journal;"23409444, 23409436";0,990;Q1;21;38;64;2886;300;60;3,90;75,95;Netherlands;Western Europe;"Elsevier BV";"2014-2019";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Strategy and Management (Q1); Economics and Econometrics (Q2)"
65;23839;"Journal of Business and Technical Communication";journal;"15524574, 10506519";0,979;Q1;36;19;46;804;101;44;1,79;42,32;United States;Northern America;"SAGE Publications Inc.";"1987-2020";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Communication (Q1)"
66;22954;"Journal of Marketing Communications";journal;"14664445, 13527266";0,978;Q1;43;82;140;5574;407;114;2,90;67,98;United Kingdom;Western Europe;"Routledge";"1995-2020";"Business and International Management (Q1); Marketing (Q2)"
67;7100153129;"European Accounting Review";journal;"09638180, 14684497";0,973;Q1;70;55;104;3701;278;94;2,52;67,29;United Kingdom;Western Europe;"Routledge";"1992-2020";"Accounting (Q1); Aerospace Engineering (Q1); Automotive Engineering (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); History (Q1)"
68;20500195043;"Research in Transportation Business and Management";journal;"22105395";0,938;Q1;27;35;119;1837;351;110;2,56;52,49;Netherlands;Western Europe;"Elsevier BV";"2011-2020";"Business and International Management (Q1); Decision Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1); Management Science and Operations Research (Q2); Transportation (Q2)"
69;21216;"MIT Sloan Management Review";journal;"15329194";0,925;Q1;95;61;226;625;430;189;1,99;10,25;United States;Northern America;"Massachusetts Institute of Technology";"2001-2020";"Business and International Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1); Decision Sciences (miscellaneous) (Q2)"
70;20672;"Journal of Productivity Analysis";journal;"0895562X, 15730441";0,888;Q1;73;21;94;1186;193;92;1,91;56,48;Netherlands;Western Europe;"Springer Netherlands";"1989-2020";"Business and International Management (Q1); Social Sciences (miscellaneous) (Q1); Economics and Econometrics (Q2)"
71;8300153135;"Global Journal of Flexible Systems Management";journal;"09722696";0,861;Q1;28;27;89;2438;342;77;4,16;90,30;India;Asiatic Region;"Global Institute of Flexible Systems Management";"2000-2020";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Strategy and Management (Q1)"
72;26043;"Economy and Society";journal;"03085147, 14695766";0,849;Q1;88;26;73;1669;160;72;1,58;64,19;United Kingdom;Western Europe;"Routledge";"1972-2020";"Business and International Management (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); History (Q1); Social Sciences (miscellaneous) (Q1); Economics and Econometrics (Q2)"
73;21100446517;"International Journal of Managing Projects in Business";journal;"17538378, 17538386";0,835;Q1;29;110;134;8771;423;129;3,07;79,74;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2020";"Business and International Management (Q1); Strategy and Management (Q1); Management of Technology and Innovation (Q2)"
74;24734;"American Journal of Evaluation";journal;"10982140";0,834;Q1;51;43;108;1781;204;103;1,63;41,42;United States;Northern America;"SAGE Publications Inc.";"1981-2020";"Business and International Management (Q1); Education (Q1); Health (social science) (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1); Social Psychology (Q2)"
75;21100803392;"Cross Cultural and Strategic Management";journal;"20595794";0,825;Q1;37;33;101;3483;320;99;2,63;105,55;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2016-2020";"Business and International Management (Q1); Cultural Studies (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1); Organizational Behavior and Human Resource Management (Q2)"
76;19786;"Utilities Policy";journal;"09571787";0,818;Q1;46;83;250;4398;657;239;2,27;52,99;United Kingdom;Western Europe;"Elsevier BV";"1990-1995, 1997-2001, 2003-2020";"Business and International Management (Q1); Development (Q1); Law (Q1); Sociology and Political Science (Q1); Management, Monitoring, Policy and Law (Q2)"
77;15725;"Voluntas";journal;"09578765, 15737888";0,806;Q1;47;130;371;9024;702;336;1,90;69,42;United States;Northern America;"Springer New York";"1990-2020";"Business and International Management (Q1); Geography, Planning and Development (Q1); Public Administration (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1)"
78;21100922610;"Journal of Professions and Organization";journal;"20518811, 20518803";0,790;Q1;14;14;30;895;71;29;1,56;63,93;United States;Northern America;"Oxford University Press";"2014-2016, 2018-2019";"Business and International Management (Q1); Strategy and Management (Q1); Organizational Behavior and Human Resource Management (Q2)"
79;25561;"Futures";journal;"00163287";0,775;Q1;74;122;236;6851;696;226;2,88;56,16;United Kingdom;Western Europe;"Elsevier Ltd.";"1968-2020";"Business and International Management (Q1); Development (Q1); Sociology and Political Science (Q1)"
80;11700154380;"Biomedical Materials (Bristol)";journal;"17486041, 1748605X";0,767;Q1;66;109;374;5369;1295;366;3,28;49,26;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2006-2020";"Business and International Management (Q1); Chemistry (miscellaneous) (Q1); Bioengineering (Q2); Biomaterials (Q2); Biomedical Engineering (Q2); Mechanics of Materials (Q2)"
81;5700169068;"Multinational Business Review";journal;"1525383X";0,763;Q1;26;29;58;2372;164;57;3,27;81,79;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2003-2020";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1)"
