Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
49;13559;"Journal of Loss Prevention in the Process Industries";journal;"09504230";0,904;Q2;72;192;741;7266;2551;727;3,43;37,84;Netherlands;Western Europe;"Elsevier BV";"1988-2020";"Chemical Engineering (miscellaneous) (Q1); Control and Systems Engineering (Q1); Energy Engineering and Power Technology (Q1); Food Science (Q1); Industrial and Manufacturing Engineering (Q1); Safety, Risk, Reliability and Quality (Q1); Management Science and Operations Research (Q2)"
50;21100438182;"International Series in Operations Research and Management Science";book series;"08848289";0,894;Q2;39;196;647;6659;438;45;9,94;33,97;United States;Northern America;"Springer Science + Business Media";"2005-2020";"Computer Science Applications (Q1); Software (Q1); Strategy and Management (Q1); Applied Mathematics (Q2); Management Science and Operations Research (Q2)"
51;21100446510;"Journal of Humanitarian Logistics and Supply Chain Management";journal;"20426747, 20426755";0,894;Q2;21;26;58;1946;187;57;2,75;74,85;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2011-2020";"Management Information Systems (Q1); Management Science and Operations Research (Q2)"
52;23966;"Journal of Optimization Theory and Applications";journal;"00223239, 15732878";0,894;Q2;82;218;606;6290;1172;592;1,69;28,85;United States;Northern America;"Springer New York";"1967-2020";"Control and Optimization (Q1); Applied Mathematics (Q2); Management Science and Operations Research (Q2)"
53;11400153310;"International Journal of Logistics Research and Applications";journal;"13675567, 1469848X";0,873;Q2;29;48;104;3445;358;97;3,02;71,77;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2020";"Control and Systems Engineering (Q1); Information Systems (Q1); Management Information Systems (Q1); Computer Science Applications (Q2); Management Science and Operations Research (Q2)"
54;21100886529;"International Journal of Systems Science: Operations and Logistics";journal;"23302674, 23302682";0,872;Q2;16;43;83;1872;241;73;3,54;43,53;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2020";"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Management Science and Operations Research (Q2)"
55;10900153307;"Journal of Simulation";journal;"17477778, 17477786";0,867;Q2;22;44;84;1900;226;79;2,07;43,18;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2020";"Industrial and Manufacturing Engineering (Q1); Modeling and Simulation (Q1); Software (Q1); Management Science and Operations Research (Q2)"
56;144656;"Management Decision";journal;"00251747";0,862;Q2;91;259;383;19299;1463;361;3,70;74,51;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1967-2020";"Business, Management and Accounting (miscellaneous) (Q1); Management Science and Operations Research (Q2)"
57;20575;"Journal of Engineering and Technology Management - JET-M";journal;"16084799, 09234748";0,840;Q2;62;24;84;1610;263;72;2,85;67,08;Netherlands;Western Europe;"Elsevier";"1989-2020";"Engineering (miscellaneous) (Q1); Industrial Relations (Q1); Information Systems and Management (Q1); Strategy and Management (Q1); Management Science and Operations Research (Q2)"
58;27989;"Optimization";journal;"10294945, 02331934";0,824;Q2;39;167;400;5122;616;380;1,67;30,67;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1985-2020";"Control and Optimization (Q1); Applied Mathematics (Q2); Management Science and Operations Research (Q2)"
59;21100470105;"SIGIR 2016 - Proceedings of the 39th International ACM SIGIR Conference on Research and Development in Information Retrieval";conference and proceedings;"-";0,794;-;22;0;228;0;993;225;0,00;0,00;United States;Northern America;"";"";"Industrial and Manufacturing Engineering; Management Science and Operations Research; Organizational Behavior and Human Resource Management"
60;21100395701;"Journal of Complex Networks";journal;"20511310, 20511329";0,793;Q2;17;15;134;749;318;129;2,62;49,93;United States;Northern America;"Oxford University Press";"2013-2020";"Computer Networks and Communications (Q1); Control and Optimization (Q1); Applied Mathematics (Q2); Computational Mathematics (Q2); Management Science and Operations Research (Q2)"
61;145295;"4OR";journal;"16142411, 16194500";0,779;Q2;38;30;63;1149;104;55;1,54;38,30;Germany;Western Europe;"Springer Verlag";"2003-2020";"Computational Theory and Mathematics (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q2); Theoretical Computer Science (Q2)"
62;21805;"Mathematical Methods of Operations Research";journal;"14325217, 14322994";0,769;Q2;44;45;127;1448;211;122;1,45;32,18;Germany;Western Europe;"Physica-Verlag";"1996-2020";"Management Science and Operations Research (Q2); Mathematics (miscellaneous) (Q2); Software (Q2)"
63;19124;"Queueing Systems";journal;"15729443, 02570130";0,745;Q2;50;42;130;1066;160;122;1,30;25,38;Netherlands;Western Europe;"Springer Netherlands";"1986-2020";"Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Management Science and Operations Research (Q2); Statistics and Probability (Q2)"
64;21100790518;"International Journal of Management Science and Engineering Management";journal;"17509653, 17509661";0,729;Q2;22;39;85;1280;251;83;2,48;32,82;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2020";"Engineering (miscellaneous) (Q1); Mechanical Engineering (Q1); Information Systems and Management (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)"
65;22202;"Operations Research Letters";journal;"01676377";0,702;Q2;70;112;402;2042;416;402;1,06;18,23;Netherlands;Western Europe;"Elsevier";"1981-2020";"Industrial and Manufacturing Engineering (Q1); Applied Mathematics (Q2); Management Science and Operations Research (Q2); Software (Q2)"
