Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
34;19600161806;"Journal of Family Business Strategy";journal;"18778585";1,762;Q1;38;43;75;3482;407;63;5,45;80,98;United Kingdom;Western Europe;"Elsevier Ltd.";"2010-2020";"Economics and Econometrics (Q1); Strategy and Management (Q1)"
35;144668;"Journal of Knowledge Management";journal;"13673270";1,752;Q1;106;92;258;8902;1912;245;7,25;96,76;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1997-2020";"Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
36;22322;"Organization";journal;"13505084, 14617323";1,731;Q1;95;88;130;6817;523;126;3,90;77,47;United Kingdom;Western Europe;"SAGE Publications Ltd";"1994-2020";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
37;6300153120;"Educational Management Administration and Leadership";journal;"17411440, 17411432";1,712;Q1;40;99;163;5404;532;141;3,74;54,59;United Kingdom;Western Europe;"SAGE Publications Ltd";"1972-1993, 1995-1999, 2003-2020";"Education (Q1); Strategy and Management (Q1)"
38;19600157901;"Journal of Service Management";journal;"17575818";1,710;Q1;53;40;118;3894;720;113;6,14;97,35;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2009-2020";"Business, Management and Accounting (miscellaneous) (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)"
39;23644;"Supply Chain Management";journal;"13598546";1,676;Q1;107;60;118;5903;787;117;6,37;98,38;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1996-2020";"Business, Management and Accounting (miscellaneous) (Q1); Strategy and Management (Q1)"
40;24718;"Human Resource Management";journal;"00904848, 1099050X";1,640;Q1;87;53;199;5404;829;197;3,92;101,96;United States;Northern America;"Wiley-Liss Inc.";"1961-2020";"Applied Psychology (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
41;19600166404;"Innovation Policy and the Economy";book series;"15313468, 15372618";1,597;Q1;11;7;18;397;42;15;1,60;56,71;United States;Northern America;"University of Chicago Press";"2009, 2011-2020";"Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
42;17496;"Journal of Corporate Finance";journal;"09291199";1,566;Q1;91;119;425;7758;1710;410;3,29;65,19;Netherlands;Western Europe;"Elsevier";"1994-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)"
43;28581;"Journal of Small Business Management";journal;"00472778, 1540627X";1,561;Q1;103;141;184;12665;979;164;5,03;89,82;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2020";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
44;20633;"Journal of International Management";journal;"10754253";1,549;Q1;66;39;73;4022;357;73;4,56;103,13;United States;Northern America;"Elsevier Inc.";"1998-2020";"Business and International Management (Q1); Finance (Q1); Strategy and Management (Q1)"
45;20842;"British Journal of Management";journal;"10453172, 14678551";1,522;Q1;103;76;142;6685;653;135;4,29;87,96;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1990-2020";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
46;11700154366;"Journal of Leadership and Organizational Studies";journal;"19397089, 15480518";1,504;Q1;39;38;100;2986;319;99;2,98;78,58;United States;Northern America;"SAGE Publications Inc.";"1996-1999, 2008-2020";"Business and International Management (Q1); Management Science and Operations Research (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1)"
47;22972;"Journal of Purchasing and Supply Management";journal;"14784092";1,473;Q1;80;56;90;4825;491;85;5,53;86,16;United Kingdom;Western Europe;"Elsevier Ltd.";"2003-2020";"Marketing (Q1); Strategy and Management (Q1)"
48;22009;"Corporate Governance";journal;"09648410, 14678683";1,471;Q1;78;27;102;2231;386;83;2,98;82,63;United Kingdom;Western Europe;"Wiley-Blackwell";"1993-2020";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
49;21100228536;"Journal of Destination Marketing and Management";journal;"2212571X";1,416;Q1;31;80;201;6469;1133;199;5,57;80,86;United Kingdom;Western Europe;"Elsevier Ltd.";"2012-2020";"Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)"
50;18658;"Production Planning and Control";journal;"09537287, 13665871";1,394;Q1;70;144;299;11430;1700;289;5,59;79,38;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990-2020";"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
51;19170;"Industrial Management and Data Systems";journal;"02635577";1,390;Q1;96;130;313;7891;2053;309;4,79;60,70;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1980-2020";"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Industrial Relations (Q1); Management Information Systems (Q1); Strategy and Management (Q1)"
52;12100156754;"Sport Management Review";journal;"14413523";1,390;Q1;50;101;134;7679;594;132;4,65;76,03;Netherlands;Western Europe;"Elsevier BV";"1998-2020";"Business and International Management (Q1); Management Science and Operations Research (Q1); Marketing (Q1); Organizational Behavior and Human Resource Management (Q1); Sports Science (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)"
53;21926;"Decision Sciences";journal;"00117315, 15405915";1,329;Q1;100;70;120;4908;381;110;2,90;70,11;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1970-2020";"Business, Management and Accounting (miscellaneous) (Q1); Information Systems and Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
54;20639;"Journal of Management Inquiry";journal;"15526542, 10564926";1,324;Q1;60;75;132;3848;329;119;2,57;51,31;United States;Northern America;"SAGE Publications Inc.";"1992-2020";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
55;18291;"Socio-Economic Planning Sciences";journal;"00380121";1,318;Q1;47;119;101;6676;445;91;5,24;56,10;United Kingdom;Western Europe;"Elsevier Ltd.";"1967-2020";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Management Science and Operations Research (Q1); Statistics, Probability and Uncertainty (Q1); Strategy and Management (Q1)"
56;20537;"Journal of Behavioral Decision Making";journal;"08943257, 10990771";1,315;Q1;73;50;188;2955;443;187;1,85;59,10;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1988-2020";"Applied Psychology (Q1); Arts and Humanities (miscellaneous) (Q1); Decision Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1)"
57;22491;"European Management Journal";journal;"02632373";1,308;Q1;99;85;196;7125;991;189;3,76;83,82;United Kingdom;Western Europe;"Elsevier Ltd.";"1982-2020";"Strategy and Management (Q1)"
58;145211;"Asia Pacific Journal of Management";journal;"02174561";1,302;Q1;74;124;124;11854;591;113;4,41;95,60;United States;Northern America;"Springer New York";"1983-2020";"Business and International Management (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Strategy and Management (Q1)"
59;27677;"Journal of Manufacturing Processes";journal;"15266125";1,294;Q1;46;483;816;16355;3903;811;4,72;33,86;Netherlands;Western Europe;"Elsevier BV";"1999-2020";"Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
60;19700182654;"Project Management Journal";journal;"19389507, 87569728";1,293;Q1;37;57;157;3768;520;139;3,19;66,11;United States;Northern America;"SAGE Publications Inc.";"1986, 2010-2020";"Business and International Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
61;24840;"International Journal of Human Resource Management";journal;"09585192, 14664399";1,263;Q1;107;221;521;18313;1808;371;4,27;82,86;United Kingdom;Western Europe;"Routledge";"1990-2020";"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
62;12512;"Journal of Management in Engineering - ASCE";journal;"19435479, 0742597X";1,255;Q1;62;62;278;4185;1169;273;3,93;67,50;United States;Northern America;"American Society of Civil Engineers (ASCE)";"1985-2020";"Engineering (miscellaneous) (Q1); Industrial Relations (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
63;22486;"R and D Management";journal;"14679310, 00336807";1,249;Q1;99;55;171;3940;704;168;3,75;71,64;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1970-2020";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
64;15700154705;"Operations Management Research";journal;"19369743, 19369735";1,231;Q1;23;12;30;768;177;28;3,00;64,00;United States;Northern America;"Springer New York";"2008-2020";"Industrial and Manufacturing Engineering (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
65;20532;"Journal of Air Transport Management";journal;"09696997";1,210;Q1;67;88;389;4313;1390;383;3,64;49,01;United Kingdom;Western Europe;"Elsevier Ltd.";"1994-1995, 1997-2020";"Law (Q1); Management, Monitoring, Policy and Law (Q1); Strategy and Management (Q1); Transportation (Q1)"
66;18644;"Journal of Manufacturing Technology Management";journal;"1741038X";1,173;Q1;65;94;154;7241;839;153;5,35;77,03;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2004-2020";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Software (Q1); Strategy and Management (Q1)"
67;19700187623;"Journal of Marketing Management";journal;"0267257X, 14721376";1,156;Q1;53;75;241;6561;832;174;3,11;87,48;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1985-1997, 2001, 2006, 2008-2020";"Marketing (Q1); Strategy and Management (Q1)"
68;17627;"New Technology, Work and Employment";journal;"02681072, 1468005X";1,141;Q1;41;22;50;1094;190;48;3,59;49,73;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1986-2020";"Human Factors and Ergonomics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
69;4100151526;"Advances in Strategic Management";book series;"07423322";1,122;Q1;27;0;95;0;67;49;2,13;0,00;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2000-2018";"Economics, Econometrics and Finance (miscellaneous) (Q1); Strategy and Management (Q1)"
70;21184;"Journal of Quality Technology";journal;"00224065";1,112;Q1;80;62;88;2043;193;85;2,15;32,95;United States;Northern America;"American Society for Quality";"1969-1979, 1982-1984, 1994-2020";"Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Safety, Risk, Reliability and Quality (Q1); Strategy and Management (Q1)"
71;19990;"International Journal of Industrial Organization";journal;"01677187";1,105;Q1;80;70;208;2447;307;203;1,40;34,96;Netherlands;Western Europe;"Elsevier Inc.";"1983-2020";"Aerospace Engineering (Q1); Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Industrial Relations (Q1); Strategy and Management (Q1)"
72;17359;"IEEE Transactions on Engineering Management";journal;"00189391, 15580040";1,066;Q1;89;169;158;3776;484;133;3,33;22,34;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1969-2020";"Electrical and Electronic Engineering (Q1); Strategy and Management (Q1)"
73;21100379294;"Operations Research Perspectives";journal;"22147160";1,053;Q1;12;42;61;2585;294;60;2,55;61,55;Netherlands;Western Europe;"Elsevier BV";"2014-2020";"Control and Optimization (Q1); Management Science and Operations Research (Q1); Statistics and Probability (Q1); Strategy and Management (Q1)"
