Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
25;14812;"Journal of Travel and Tourism Marketing";journal;"10548408, 15407306";1,487;Q1;64;81;275;6248;1325;260;5,15;77,14;United States;Northern America;"Routledge";"1992-2020";"Marketing (Q1); Tourism, Leisure and Hospitality Management (Q1)"
26;22972;"Journal of Purchasing and Supply Management";journal;"14784092";1,473;Q1;80;56;90;4825;491;85;5,53;86,16;United Kingdom;Western Europe;"Elsevier Ltd.";"2003-2020";"Marketing (Q1); Strategy and Management (Q1)"
27;21100781509;"Journal of Public Policy and Marketing";journal;"07439156, 15477207";1,457;Q1;70;38;91;2738;297;78;2,35;72,05;United States;Northern America;"American Marketing Association";"1996-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
28;23665;"International Business Review";journal;"09695931";1,453;Q1;87;97;314;10457;1777;302;5,60;107,80;United Kingdom;Western Europe;"Elsevier Ltd.";"1993-2020";"Business and International Management (Q1); Finance (Q1); Marketing (Q1)"
29;21100228536;"Journal of Destination Marketing and Management";journal;"2212571X";1,416;Q1;31;80;201;6469;1133;199;5,57;80,86;United Kingdom;Western Europe;"Elsevier Ltd.";"2012-2020";"Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)"
30;23687;"Marketing Letters";journal;"1573059X, 09230645";1,406;Q1;65;27;150;729;391;143;1,98;27,00;United States;Northern America;"Springer New York";"1989-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
31;20209;"Business Horizons";journal;"00076813";1,402;Q1;76;93;248;2934;1295;202;5,54;31,55;United Kingdom;Western Europe;"Elsevier Ltd.";"1957-2020";"Business and International Management (Q1); Marketing (Q1)"
32;12100156754;"Sport Management Review";journal;"14413523";1,390;Q1;50;101;134;7679;594;132;4,65;76,03;Netherlands;Western Europe;"Elsevier BV";"1998-2020";"Business and International Management (Q1); Management Science and Operations Research (Q1); Marketing (Q1); Organizational Behavior and Human Resource Management (Q1); Sports Science (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)"
33;14014;"Psychology and Marketing";journal;"07426046, 15206793";1,347;Q1;107;98;246;6615;883;244;3,44;67,50;United States;Northern America;"Wiley-Liss Inc.";"1984-2020";"Applied Psychology (Q1); Marketing (Q1)"
34;22992;"Journal of Retailing and Consumer Services";journal;"09696989";1,338;Q1;75;219;508;15960;3122;503;5,79;72,88;United Kingdom;Western Europe;"Elsevier Ltd.";"1994-2020";"Marketing (Q1)"
35;16051;"American Review of Public Administration";journal;"15523357, 02750740";1,304;Q1;52;64;146;4732;479;145;2,97;73,94;United States;Northern America;"SAGE Publications Inc.";"1967-1983, 1987-2020";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
36;22839;"International Marketing Review";journal;"02651335";1,249;Q1;83;79;130;6305;696;124;3,81;79,81;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
37;144981;"Quantitative Marketing and Economics";journal;"15707156, 1573711X";1,246;Q1;30;16;36;596;34;34;0,96;37,25;Netherlands;Western Europe;"Kluwer Academic Publishers";"2005-2020";"Economics, Econometrics and Finance (miscellaneous) (Q1); Marketing (Q1)"
38;15057;"Electronic Commerce Research and Applications";journal;"15674223";1,243;Q1;69;69;178;4882;1052;175;5,55;70,75;Netherlands;Western Europe;"Elsevier";"2002-2020";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Management of Technology and Innovation (Q1); Marketing (Q1)"
39;5700161512;"Journal of Consumer Culture";journal;"14695405, 17412900";1,211;Q1;52;56;154;3292;351;120;3,01;58,79;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2020";"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
40;29139;"Public Relations Review";journal;"03638111";1,159;Q1;75;100;308;7067;986;304;3,38;70,67;United States;Northern America;"Elsevier BV";"1975-2020";"Communication (Q1); Marketing (Q1); Organizational Behavior and Human Resource Management (Q1)"
41;19700187623;"Journal of Marketing Management";journal;"0267257X, 14721376";1,156;Q1;53;75;241;6561;832;174;3,11;87,48;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1985-1997, 2001, 2006, 2008-2020";"Marketing (Q1); Strategy and Management (Q1)"
42;130049;"Journal of Services Marketing";journal;"08876045";1,069;Q1;96;82;203;6344;862;200;4,23;77,37;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1987-2020";"Marketing (Q1)"
43;21100932830;"Journal of Innovation and Knowledge";journal;"2444569X, 25307614";1,059;Q1;15;41;59;2641;387;55;8,00;64,41;Netherlands;Western Europe;"Elsevier BV";"2016-2020";"Business and International Management (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Marketing (Q1)"
44;22965;"Journal of Personal Selling and Sales Management";journal;"15577813, 08853134";1,045;Q1;63;29;69;2351;156;61;2,63;81,07;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-2020";"Business and International Management (Q1); Human Factors and Ergonomics (Q1); Management of Technology and Innovation (Q1); Marketing (Q1)"
45;22199;"European Journal of Marketing";journal;"03090566";1,033;Q1;91;123;333;9648;1009;320;2,94;78,44;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1967-1990, 2001, 2005-2020";"Marketing (Q1)"
46;16032;"Administration and Society";journal;"00953997, 15523039";1,011;Q1;57;77;178;4817;399;158;2,42;62,56;United States;Northern America;"SAGE Publications Inc.";"1969-2020";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
47;144957;"Journal of Marketing Education";journal;"02734753, 15526550";1,010;Q1;53;28;58;1458;153;43;3,11;52,07;United States;Northern America;"SAGE Publications Inc.";"1979-2020";"Education (Q1); Marketing (Q1)"
48;19600157911;"Electronic Markets";journal;"14228890, 10196781";1,006;Q2;29;81;103;6299;449;76;4,67;77,77;Germany;Western Europe;"Springer Verlag";"2009-2020";"Business and International Management (Q1); Computer Science Applications (Q1); Management of Technology and Innovation (Q1); Economics and Econometrics (Q2); Marketing (Q2)"
49;22954;"Journal of Marketing Communications";journal;"14664445, 13527266";0,978;Q2;43;82;140;5574;407;114;2,90;67,98;United Kingdom;Western Europe;"Routledge";"1995-2020";"Business and International Management (Q1); Marketing (Q2)"
